"","PD_005T","PD_007T","PD_010T","PD_011T","PD_012T","PD_013T","PD_014T","PD_015T","PD_018T","PD_019T","PD_020T","PD_021T","PD_022T","PD_023T","PD_024T","PD_025T","PD_026T","RCC_102","RCC_105","RCC_106","RCC_115","RCC_117","RCC_14","RCC_18","RCC_21","RCC_27","RCC_41","RCC_50","RCC_73","RCC_90","RCC_93","RCC_96","RCC_99"
"MS4A2",-0.886299500835272,-0.913216233857933,-1.0862010350493,1.09828479572342,0.465713319595964,0.24000896473507,0.24000896473507,-1.05589120089205,0.732052073300289,-0.267079617891743,-1.31832585820717,-0.0424567992428948,0.112366523072563,0.276198865032242,-3.45798964446339,0.791605724704551,-3.8160371651574,-9.96578428466209,-9.96578428466209,0.824564212089827,0.252173413202027,-9.96578428466209,-9.96578428466209,-1.21424022557299,-0.783389931257558,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,1.56120392076992,-9.96578428466209
"FEZ1",2.63250088948452,3.79399989430343,0.669933835668961,2.20507966574984,2.12465899041952,1.17696099208944,1.63273352595054,1.81598522720104,0.993493221058416,2.05345893194152,-1.0862010350493,1.88009774972197,2.46492960112985,2.26933242973416,1.99313087142926,1.69198075060328,-0.0724827538015237,3.30903062978875,3.71929298036574,4.41487969587872,3.35205225634249,1.06419306192749,0.202887833470143,3.79711676511297,1.55630678422498,4.18515294823334,1.51146803927587,3.66687018544739,3.56328018065802,3.81874832548166,3.60418996147501,3.69164582430093,-9.96578428466209
"TAGLN",6.51192655720848,7.45730699806067,6.72357221295029,7.27613371295415,7.04057466968177,7.59619721191347,8.32368981181057,7.6356891029171,7.46940575755464,8.64965497457167,4.69326391493855,7.80471830766653,8.49709736761144,8.5518658825814,6.84135677340291,9.20310569796962,7.4518787190455,9.90564423010666,7.30880316649425,10.214368909922,9.03193824421346,7.76016105474657,4.81869720505783,7.28078004788238,7.38595728329378,10.0447506504951,5.53856920234584,8.60418625419124,10.2528794557566,4.33849572765478,8.6221653265298,10.2346988977758,2.00396196615242
"FERMT3",2.69844075617584,2.78052008303922,2.72922645499115,4.04448155277207,3.15396742753934,3.62655594938034,3.82893617264046,2.45443913468656,3.11286690866318,2.5609594583376,4.29579647964759,3.05675691879274,2.49850618918868,3.86106208522204,5.17116678759074,4.43369392606959,2.48825791280799,4.70049520534484,3.76139166287834,3.46740991715289,4.58982339832573,5.41484587861863,5.09089576243101,2.03597574366513,4.38756933436332,4.38963564099109,4.3848096471541,5.01216637902421,2.97654693984849,4.03042436789951,5.20128098499097,3.66459661308986,3.32639353165766
"ALDOA",10.4245032982942,9.4520373333606,9.4206571365649,9.89108648527286,10.3220306578422,10.0702162263051,9.61507967133099,10.5586799541374,10.6185148984917,9.53549118143572,9.18162686398067,10.8646048060141,9.51944165278604,9.78362198643406,9.62877541752143,9.81132812831085,8.94219484846648,11.8406721168346,11.2029753504109,10.3235175648386,9.54541049843384,11.1953728226244,10.4684316028695,7.79857548348772,10.6228306279123,10.2990603063334,10.8594190866083,10.3319369329299,10.7227742378229,9.16060510863528,10.0330664135645,11.0572478528522,11.7562731762628
"MMP3",-4.608232280044,-9.96578428466209,-5.01158797427521,-5.57346686188333,-0.284545872884282,0.496717987935177,0.434027674663597,-6.50635266602479,-9.96578428466209,-1.59509687785487,-9.96578428466209,-4.608232280044,-9.96578428466209,-1.35475948735473,-1.83135796444116,-0.913216233857933,-9.96578428466209,2.83005245627156,-9.96578428466209,5.82148063072554,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-0.302226180444814,-9.96578428466209,-9.96578428466209,-9.96578428466209,0.252173413202027,2.70730390824728,0.476122419880152,1.77019475495132,-9.96578428466209
"TRIM48",-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209
"ADRA2A",-2.63486740654747,-9.96578428466209,-2.93236128312464,-4.0350469470992,-3.30757280191029,-3.04692104738749,0.334568275666133,-2.31473259348316,-2.2446850959549,-2.82623293226329,-2.05289494843213,-1.88363524330822,-0.664288089679538,-4.0350469470992,-9.96578428466209,-0.968604803724466,-3.62593428177746,0.401630466584741,-2.17788172527066,1.22712493444993,1.58062791045727,-1.24810786159569,-9.96578428466209,-3.30757280191029,0.0579700686373299,-0.597277823154395,-3.04692104738749,-0.432454552356253,-9.96578428466209,-3.8160371651574,-2.54793176977619,1.54646235816709,-9.96578428466209
"VEGFC",-0.0424567992428948,1.84438565300257,-0.940644722383579,1.55139296802745,1.32826202860941,1.99675027884918,1.84438565300257,0.832687516439532,0.506906554580693,0.412510571249805,-0.0424567992428948,2.30188025283903,2.04299446361841,2.00036062868352,2.46754034205384,1.70088355602827,1.29337048420475,2.22989550083389,3.96264155972697,3.91466018975444,2.67378253401974,1.00072116724365,0.660837367696284,-0.284545872884282,2.66243339556135,3.67818461126018,1.50639883152745,3.67592881369186,3.84709494026056,-2.72737954533701,3.29440019266409,-0.0130430374755989,-1.31832585820717
"CCDC102B",3.85509271580275,5.81867164416663,5.13344022725452,6.46419447820703,6.17674163599785,6.45353404072634,5.80866820711827,5.46437420951541,4.76293342987731,4.95517328905592,4.75066009578082,4.86547346957541,5.83342143550294,6.83150993534242,4.87582920034616,5.75224013375861,4.55342194559768,2.35642555908681,1.1833277060448,2.91475584967165,2.59717358467203,-0.886299500835272,1.07792657868507,1.20851725980554,0.949348164288563,6.39747783977339,1.28154989336664,1.89956236015469,2.78889447916044,1.13815914522947,3.23434802990267,2.22989550083389,1.5165194976611
