"input_data.Gene","input_data.Study","input_data.N","input_data.Coef","input_data.SE","input_data.Pval","input_data.Cancer_type","input_data.Treatment","meta_output.studlab","meta_output.TE","meta_output.seTE","meta_output.statistic","meta_output.pval","meta_output.df","meta_output.lower","meta_output.upper","meta_output.w.common","meta_output.w.random","meta_output.zval","meta_output.w.fixed","meta_summery.Gene","meta_summery.Coef","meta_summery.SE","meta_summery.CI_lower","meta_summery.CI_upper","meta_summery.Pval","meta_summery.I2","meta_summery.Q_Pval"
"CXCL9","ICB_small_Van_Allen",42,-0.277758988510004,0.157996494551171,0.0787462696922139,"Melanoma","CTLA4","ICB_small_Van_Allen",-0.277758988510004,0.157996494551171,-1.75800728553534,0.078746269692214,NA,-0.587426427513878,0.03190845049387,40.0594605931236,40.0594605931236,-1.75800728553534,40.0594605931236,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Mariathasan",195,-0.275688765543212,0.0838719849689667,0.00101254184549074,"Bladder","PD-1/PD-L1","ICB_small_Mariathasan",-0.275688765543212,0.0838719849689667,-3.28701849187448,0.00101254184549076,NA,-0.440074835394271,-0.111302695692153,142.156315013748,142.156315013748,-3.28701849187448,142.156315013748,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Mariathasan",195,-0.271770776429053,0.090895796174248,0.00279054365249033,"Bladder","PD-1/PD-L1","ICB_small_Mariathasan",-0.271770776429053,0.090895796174248,-2.98991579223385,0.0027905436524903,NA,-0.449923263276673,-0.0936182895814333,121.035398349055,121.035398349055,-2.98991579223385,121.035398349055,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Van_Allen",42,-0.260463133203498,0.173778920254556,0.133920615470526,"Melanoma","CTLA4","ICB_small_Van_Allen",-0.260463133203498,0.173778920254556,-1.49881891786394,0.133920615470525,NA,-0.601063558174686,0.0801372917676898,33.1135552181988,33.1135552181988,-1.49881891786394,33.1135552181988,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Mariathasan",195,-0.254651905056743,0.0821911278445947,0.00194641215818966,"Bladder","PD-1/PD-L1","ICB_small_Mariathasan",-0.254651905056743,0.0821911278445947,-3.09828945939559,0.00194641215818966,NA,-0.415743555480876,-0.0935602546326102,148.030129836171,148.030129836171,-3.09828945939559,148.030129836171,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Mariathasan",195,-0.239498311194227,0.0897665267461965,0.00763011770105016,"Bladder","PD-1/PD-L1","ICB_small_Mariathasan",-0.239498311194227,0.0897665267461965,-2.66801356669818,0.00763011770105023,NA,-0.415437470634024,-0.0635591517544304,124.09982140574,124.09982140574,-2.66801356669818,124.09982140574,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Riaz",23,-0.208662319989295,0.270412846684599,0.440325592852293,"Melanoma","PD-1/PD-L1","ICB_small_Riaz",-0.208662319989295,0.270412846684599,-0.771643516747088,0.440325592852293,NA,-0.73866176044806,0.32133712046947,13.6755675751387,13.6755675751387,-0.771643516747088,13.6755675751387,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Miao",33,-0.207780416048441,0.284968737758418,0.465919654755696,"Kidney","PD-1/PD-L1","ICB_small_Miao",-0.207780416048441,0.284968737758418,-0.729134071627838,0.465919654755695,NA,-0.76630887877478,0.350748046677898,12.3141818436908,12.3141818436908,-0.729134071627838,12.3141818436908,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Mariathasan",195,-0.204822414850995,0.0842607592369053,0.0150648564153417,"Bladder","PD-1/PD-L1","ICB_small_Mariathasan",-0.204822414850995,0.0842607592369053,-2.43081615577569,0.0150648564153417,NA,-0.36997046826533,-0.0396743614366599,140.847539277957,140.847539277957,-2.43081615577569,140.847539277957,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Riaz",23,-0.204479657083583,0.292630500583805,0.484699534317677,"Melanoma","PD-1/PD-L1","ICB_small_Riaz",-0.204479657083583,0.292630500583805,-0.698763993075367,0.484699534317676,NA,-0.778024899005768,0.369065584838602,11.6777942596354,11.6777942596354,-0.698763993075367,11.6777942596354,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
