"","Pt1","Pt2","Pt39","Pt82","Pt49","Pt85","Pt101","Pt47","Pt52","Pt67","Pt79","Pt98","Pt65","Pt90","Pt103","Pt17","Pt38","Pt48","Pt36","Pt46","Pt26","Pt106","Pt34"
"P2RY10",2.17550761299047,2.12180691178171,-3.25367448507035,1.6576230655388,3.00776760372561,-2.35762565140714,5.81592167054306,0.832458049240965,1.29781559002639,0.393444895905056,-0.134484962221562,-1.72071597010993,2.56287242608544,1.36752526017056,0.745171336425428,-3.34436485812807,-2.97533026047328,0.335427047117302,-0.315839314401955,1.66357708737602,0.139021756915789,0.40641866640254,2.17450591977281
"ITCH",4.73172997895231,4.57813629740598,3.64443125866742,3.965030446639,3.75831528728522,4.81409610695468,4.5502321074965,4.96008390702377,5.23694258582319,3.49907883614966,4.64646328587324,3.65771664942734,4.13138537353231,3.92524759424331,0.98036723143247,4.84481522729876,4.66746653661732,4.6428825864254,4.72952377285791,3.89489525761403,5.08145409436019,4.08946494627821,3.81228334793326
"RUNX1T1",-0.651824664655339,-0.838139271592374,-3.14796732138982,-0.505181767728508,1.37552079516726,-4.82468718820632,-0.565279634403429,0.881667284389262,0.428927890940236,-0.506398257811855,-0.102002687670569,0.743593662327558,-0.310398492901939,0.524874226194324,-0.61923044534475,-1.57582014144386,-1.58305423855289,0.358512664257503,3.5068178950823,0.861655177778642,-1.14723424134818,0.927903130865511,-0.0799523062758491
"SLC1A3",3.51047786925725,4.70845286739768,3.4981589624688,3.83785317002422,4.22604953422024,1.45138040921157,3.67803963272407,4.09056343133409,3.22563877299074,1.80554525475673,4.20006336668799,3.61957940632164,3.19004788881706,3.20231765467493,3.51139538880504,1.56488636302147,2.57104180337221,2.93343196215138,4.03298483054868,6.43231416495912,1.63430693491494,3.37187473092027,6.14124505616946
"XRCC5",7.43763142986739,7.02842436564783,7.77174739832308,6.91361079152575,6.79875671677949,7.44926537936604,7.03806578593535,7.26767556796309,7.27504096923731,5.81851612097163,7.08619960525846,7.13592203267564,7.31847405853576,6.22192793991818,4.8773447144872,8.89745846658293,8.06970273896341,6.8460040078388,6.74814773383522,6.31915941697166,8.03338372496913,6.89684036851225,6.75422807889259
"SP140",2.92448016033617,2.02118916789893,-9.96578428466209,1.83932644104638,2.67154080504263,-0.601739348876776,5.97057078881809,2.89173604262765,1.04372457152784,0.728967637830264,0.91065493276799,0.155736751917334,2.10778942455613,2.09622531165861,1.84572996011789,0.810961470228251,0.0417834417978494,0.962863735792229,1.24330415064959,2.65321663619571,0.39858597531385,1.70082549027376,2.78986079481508
"CEACAM1",6.85260467953209,4.60231229239935,2.16345433385728,5.22252117574352,4.54526903533236,3.88055281748388,2.22621433215211,5.27615328861706,4.00312312220949,2.69985938245005,5.92654611705771,5.2007118791415,4.25861711788405,3.59143755762236,-0.600291324170442,2.7859821863652,0.260761466527726,4.80788392900624,1.86842345449023,-1.51137434651971,6.76965562646044,4.21145030205138,1.27054298295578
"MOXD1",6.36240532277662,2.03043628208844,1.09857836138853,3.25447955237733,5.39128382351758,-0.586108546943075,3.88160273159807,4.2093514296785,5.0719283162349,-0.0731054460452746,5.32556872036595,-0.0639974664965322,5.8787965463274,3.58704536743749,1.77367234746452,-0.72148263626705,0.589894124233807,2.11290638419515,4.51249103595167,3.7048230861881,2.01028324826667,2.55380423541561,3.36793746476643
"STX7",7.54456000257019,6.81333857127333,5.28367779926075,6.20025260509118,5.97792455847883,6.4897593822655,6.32223927381968,7.10373108291804,5.71890683714027,4.57995224747218,6.31239363161822,6.50410542248156,6.11651261964048,7.02014936646276,3.42102955499286,6.98524055141005,6.57031829965267,5.3213902459901,6.39500168890538,5.82556112301457,8.30167415993239,6.44945396776572,6.91982614171268
"DCT",7.6273118882878,9.76360491778191,9.18036081018703,4.19915578457902,8.42831701123876,9.1222441249489,-0.0853658670562277,5.96578693074541,4.71919442665938,1.71365015128168,2.86596985382294,3.56943970664083,7.08888024504984,9.52726095483809,3.07931605142222,5.11386164726349,2.56469310833709,7.36262793520876,-2.07750987437158,-2.78645042248041,10.8845997776647,7.69674298875122,5.69214737933878
"COL5A3",-0.473361260266198,2.21915547133003,-1.6039970312409,-0.4111849924866,2.19014275584015,-0.457817440556821,0.662343737205963,3.03006191130831,0.478742300131757,-2.06409476126778,0.4747198628765,-0.875533187112388,4.43002285793136,1.04029848382466,0.414687113738107,-0.110256093549865,3.47840067398098,0.169063582810682,5.20265780148898,3.71325636618036,0.297335292441956,4.29068242215036,0.816485102987363
"NDC80",4.17159031939226,3.11721052477184,3.16157776416957,3.09148978982121,1.66446591792703,3.49039385323044,3.51274004032126,3.19135716002566,2.40622872802774,1.32317327893738,3.8928257065665,2.01151187704702,3.33721451374973,3.56957442463294,0.438978352725706,3.16167076119237,3.83229229780993,0.905036075418007,2.29198808963542,2.00311542263138,3.21987138931562,4.50984715519027,1.81239096050113
"CXCL2",2.6707221065524,1.10204566072142,-9.96578428466209,0.840154336994204,0.214657310418665,1.99536095114924,1.44136479841796,2.35509198875595,4.353173126169,-1.98180932502614,-1.01229171727192,-1.85663973888295,-0.775217957155456,4.71199375567574,2.12570883062073,-3.09536278002218,-9.96578428466209,6.61337135577154,3.00488225219752,3.2542683955867,-1.27567552801558,0.501568450198812,1.67754306452521
"ARG2",1.8066513381503,1.91117333767053,-0.433153051633362,0.865185519184068,0.838190899108039,3.43147488265249,0.724821220178872,2.10743942260399,2.38034290472817,0.301757950493299,2.7388502898734,1.77255604056779,0.136341180818788,2.24871587487304,0.0620306566927333,2.90128481358938,1.11276812921403,1.27527501108101,0.630756419800616,1.73312126448346,3.13587757962306,0.423035986542295,1.2771665181122
"PTPRC",6.22953507394434,6.32428962539769,1.14832518019945,4.78400716801986,6.23359011565856,2.42729880874925,8.40815690404509,5.6547607478452,4.77082555171846,3.27141751921129,3.89308213519934,3.37213037339598,5.58308616011536,4.68975517260725,3.12221342151065,2.05605924605736,2.41862669444967,5.01319479061451,6.41426348661525,6.41789935669948,3.6293576212666,4.67250698244713,6.55626622984874
"STK17B",4.56802880611947,3.64047183105625,0.350046378882848,2.52393045872582,4.01756691163143,1.06514582011541,7.05275825852764,3.49881484618746,3.13228805255048,2.4856006593561,2.22569272290264,0.993038892548537,4.09306966995699,3.51403894508683,2.28800509981534,1.60058563822545,1.88281496814783,2.34674558111121,4.17380191653642,3.71332579530469,2.40955915852321,2.93834731334477,3.93710285355136
"IL12RB2",5.54393344621614,-0.136865573232973,2.2166272755221,4.83454849997413,1.28901342210616,0.942290434288017,1.91720992427431,3.15242438744233,4.12389798131107,2.00981889721306,6.35604173883497,4.24822855309536,5.07985141424259,3.88831907184406,2.06522407454146,-2.52657421961951,5.85151430430316,-0.170982005229997,1.74614131579409,0.118876460516428,3.26439359360192,-0.608196154067949,4.9566991478817
"FYB1",5.2831514017653,5.53569927311191,-0.216712241704879,3.96994988873383,5.47438704728194,3.84378418048571,6.43653680126875,6.40195903943065,3.91935869073567,2.2657363043813,3.51233022639848,2.62609324017194,4.38914421709143,3.60892952182227,2.81724425926082,1.15123598083195,1.7414933564438,4.02845972891359,5.20667440684294,5.39738902793432,2.56724258294808,5.36585397668872,5.66458648137504
"STRADB",5.83458843488015,4.53055860583086,5.82132377621667,7.25099487743397,4.86892511827333,6.43497447589374,4.52076782213667,5.4801490238822,5.63016174628989,4.01231905016913,4.2020856567505,7.36224714026503,4.37553768323917,4.51348485811804,3.51714422097654,8.7453827704921,6.16021159682812,5.48077982166186,4.48928654398355,4.90050680935486,6.23200227486315,5.61496794114183,4.70432203842846
"C1QTNF3",0.81894366856351,1.48987515580847,3.35490523707412,3.42434476414505,5.28918887956878,5.141267053455,1.76946255960012,4.92013649153928,7.7935546578294,1.93650827372731,1.67173558179104,0.858837195677053,0.56185524288394,-0.163873682617159,3.48300948240792,1.70330275706442,1.02135175511191,1.67383180770357,7.66390642627527,2.35159839718658,2.50860076481245,4.74743126984559,0.714154786008034
"ITGB5",5.25308076392571,6.61093486203023,5.23683113539808,5.20084032576791,5.78079738581745,5.60124192019741,3.93017440733786,6.61883855954273,6.25291836855203,4.337156779316,4.36601082448936,5.51283764112521,6.90561764059531,5.33794197840816,4.61352496668861,6.51501460214434,7.45879081772426,5.52594160579333,7.42256688038693,6.91501078628147,5.90167000680768,6.79521046242315,5.92359708197716
"PLOD1",6.2222150378359,7.00884330462782,5.99057333862121,6.09353072927739,6.31585066943563,6.4221260420462,3.80002551139582,6.81376583281239,5.86130754361928,4.04018383790806,6.59544140445282,4.88809277647584,7.17868893998142,6.7114085593428,4.01083711857825,6.40631630167542,8.38971376506121,5.15953583800617,6.47924741041881,6.02474541751053,4.89864120192517,6.0253124898513,5.95849394322274
"EPYC",-1.96232017729161,-0.681492434648328,-9.96578428466209,-9.96578428466209,0.748054413168869,-2.52847583443081,-5.72067167224418,3.03107763674135,-4.31070547183975,-3.76053958799302,-0.528291476429054,-9.96578428466209,-2.51570366516485,-2.4596612885993,1.74918256000946,-4.54044893901145,-9.96578428466209,-9.96578428466209,-1.2439653734049,3.46678044248031,-9.96578428466209,0.742011309442891,2.91279963776423
"CYLD",4.51838193231234,4.73030793961512,2.65503212134298,2.86151677281933,4.4283708743639,4.53168525815693,6.03358355874476,5.23403113425558,4.10155005154294,3.05343099018207,3.53784071551654,2.02016131171092,4.14345510226152,3.2613860426489,2.49119098097672,2.48046888420374,4.36418274010218,3.74333531582903,4.03646606959353,4.02339493711202,3.17909961726051,4.36055765575663,4.03819663138281
"COL16A1",3.33553438664588,4.54623575315785,4.26429790600199,3.38293326887782,5.14116535968254,4.40289510209194,1.13197499532078,6.00976792035101,3.76228683193511,2.24144164726065,5.78472463006101,3.89507060786261,3.90742614026239,3.76129345873901,3.58083438551455,2.46629164594828,3.89111966957599,2.16852401689768,5.15000412116543,6.01433160310912,5.6563663819892,5.91093199067631,3.71675996667496
"KIF3C",4.39356433537218,2.75595125469513,1.44061575813471,1.92193256826259,1.99385201385243,3.86452886375502,1.77396648576803,3.6723730712549,3.72202085607221,-0.971601235649607,3.18839274755784,1.21566660043441,4.30931142673259,2.51975268494452,0.609669273438837,4.06545707382605,3.20528730396351,-0.0929135622185895,2.67649184380078,0.670877661842285,3.70360648908982,0.481124441115172,1.40986555154062
"HADHA",7.11599006938161,6.88213107732239,6.62375225130658,6.17246972093564,6.31894416906757,6.15318906248212,6.02974655440045,5.94365406298191,6.86087650564051,5.70336192529299,6.46247415424906,6.51251128442444,6.39053096176425,6.14039069474339,5.30811760775441,7.72325444966611,7.00985653441101,6.40086642517191,7.00692455609816,6.50290256717322,6.73966320705223,6.75172846083743,6.56417440158582
"CD59",10.0564213149781,8.74972491615305,8.26702652238608,8.39342841311655,9.74197598940781,11.7821118711524,7.9848687284661,10.8979670811048,10.1908668762654,8.09717042238164,10.6121510308105,8.87655687755682,10.5386552793686,9.82637917387521,8.10253601466761,9.09059825868728,10.2808798296756,8.71846080262621,9.4473929248918,9.26900048564389,8.98886797018124,9.86023787167498,9.54694727515108
"FCN1",2.28104246208661,3.92611048714384,-0.663656603999615,0.606779151302308,1.18777737952376,-1.64772164417391,1.8269608069123,4.7849843553324,1.79994601960506,-3.64318050749358,-3.24263238574825,-1.21687659791025,-0.68728761953828,2.55139083710279,0.491457861048736,-2.28448674962325,-2.33910779213965,0.504566904555814,2.42577848706914,2.29972011199734,-1.25197965524428,0.00296843529585019,2.8098666266291
"MECOM",-0.153053057626989,2.09051267810504,0.48986437006179,0.576115173269318,1.76490931542452,-0.281350174565607,0.0270048969610972,1.29440306771638,2.60434585163546,5.05044605142881,-0.416015126738595,-0.102722707384799,1.33802961373911,0.0731569511346189,-0.911277760174685,0.439722623354106,0.0258227304447458,1.27906521492192,3.25972351006665,1.13679547319392,-0.98576505057801,1.15467488022276,0.602119881369288
"SNX10",5.69766530335698,7.07156315517426,2.9403987124418,4.35332750214589,5.9993168309835,7.47457911093353,5.62887892145257,7.55176844928017,6.62867489578757,1.45118724654161,6.14515428053595,3.31763138358367,4.37936569147866,4.73621897558564,3.416129613503,5.48620631618284,6.55135612630582,4.15016559133551,4.84301126371,6.038655319506,7.23410055625809,6.98015021020353,6.60199940702295
"CEACAM6",-9.96578428466209,-3.67829520287075,-9.96578428466209,-1.99269576938771,-9.96578428466209,-9.96578428466209,-9.96578428466209,-4.2400995200143,1.00998532399734,2.10109587905216,-9.96578428466209,-0.868890056427574,-0.691888539275687,3.0109716507333,-0.496939920043357,-9.96578428466209,-9.96578428466209,-2.75176880860851,-9.96578428466209,-3.76293418765544,-6.28404817004683,-9.96578428466209,-3.96693688276355
"LAT2",3.43690123157206,3.97051497177746,-0.102329506112363,2.62215683456647,3.61472484705713,1.88538390123704,6.35852059183538,4.34757680884481,2.99572139985316,0.369877182460289,2.58216395823681,0.994691032185734,3.32423027002483,3.64400658324029,2.71249662358676,1.2253003837752,1.96502263851313,2.24057113303832,3.68119506637844,3.98141612623281,1.55134827697191,2.61283843774576,4.60062814650867
"NOX4",3.05459277893984,3.57198444466004,-2.03404641798181,1.71950878369051,4.06611756878292,5.11934197963087,-1.1781702016829,4.84168788012408,2.10243902395757,-2.76554141352637,3.49766015357345,0.588700375335109,2.83739434620179,2.31092055665975,2.84516249976593,-0.953609787233785,-0.296660955497284,0.0825872454977011,3.39227247626194,2.35746165298637,2.72613179413751,3.80057861855836,4.07526605923942
"ACOX3",3.59744224274981,3.31644032432935,3.62656728119188,2.75482204560406,2.49650585725275,3.34812343539631,2.45989406879496,3.21090183198468,2.63502597387733,3.61022251644648,3.11789049442658,3.02864004827651,2.6514787574382,3.39430724888771,1.93301862515392,3.76510753741057,3.33690200632739,2.45511969492202,3.46573256767727,2.66516537291779,3.03807988311,3.28986941987447,2.80315616442055
"ACHE",-0.376157580677555,1.87128019181772,-4.34101820654759,-5.62849774899406,-1.43945340812928,-0.839388757644532,2.79485582647716,-3.96315650810113,-1.1614740559042,-2.15358026650835,-0.412502055483044,-2.98992023218962,0.700922835990016,-0.602629423205045,-1.82314653163852,-1.44198827007627,-1.22294935389969,-0.266925617146031,-3.27687327030446,-3.31201744277003,-2.30266205894069,-2.06031776253134,-2.61009952955045
"FTL",13.2748452827918,12.3184792880747,11.0539719081197,12.6780792140789,12.1928038349022,12.8532643522759,11.7999427778953,11.9241024242408,11.6134468738331,10.1802017814174,11.1852762108316,11.8310294744074,11.7648714667635,12.3119654027105,14.976315547267,11.5105205207814,12.4751254888166,12.3145993476926,14.55122709029,16.4161335733763,11.4793424989999,12.2042548761556,15.7736936122487
